start,end,label
2017-08-19 12:33:05.807200-05:00,2017-08-19 12:35:41.200000-05:00,c
2017-08-19 12:36:00.600000-05:00,2017-08-19 12:39:05.400000-05:00,c
2017-08-19 12:39:11.200000-05:00,2017-08-19 12:39:16.200000-05:00,c
2017-08-19 12:39:32.400000-05:00,2017-08-19 12:42:00.600000-05:00,c
2017-08-19 12:42:48.400000-05:00,2017-08-19 12:45:32-05:00,c
2017-08-21 11:29:51.503000-05:00,2017-08-21 11:31:50.226400-05:00,c
2017-08-21 11:32:24.400000-05:00,2017-08-21 11:35:11.400000-05:00,c
2017-08-21 11:35:54.800000-05:00,2017-08-21 11:37:07.400000-05:00,c
2017-08-21 18:24:33-05:00,2017-08-21 18:24:41.200000-05:00,c
2017-08-21 19:19:32.600000-05:00,2017-08-21 19:21:58.919000-05:00,c
2017-08-21 19:22:21.336600-05:00,2017-08-21 19:22:53.400000-05:00,c
2017-08-22 11:29:42.600000-05:00,2017-08-22 11:30:01-05:00,c
2017-08-22 11:30:22.400000-05:00,2017-08-22 11:34:41-05:00,c
2017-08-22 11:36:55.800000-05:00,2017-08-22 11:37:39.600000-05:00,c
2017-08-28 17:47:41.600000-05:00,2017-08-28 17:47:59.200000-05:00,c
2017-08-28 17:49:00.800000-05:00,2017-08-28 17:49:35.600000-05:00,c
2017-08-28 17:49:48.600000-05:00,2017-08-28 17:50:12-05:00,c
2017-08-28 17:50:28.800000-05:00,2017-08-28 17:50:40.400000-05:00,c
2017-08-28 17:50:50.600000-05:00,2017-08-28 17:53:00-05:00,c
2017-08-28 17:53:21.400000-05:00,2017-08-28 17:53:30.600000-05:00,c
2017-08-28 17:53:50-05:00,2017-08-28 17:56:23.600000-05:00,c
2017-08-29 11:57:47-05:00,2017-08-29 11:59:36.200000-05:00,c
2017-08-29 11:59:43.400000-05:00,2017-08-29 12:00:04.800000-05:00,c
2017-08-29 12:00:22-05:00,2017-08-29 12:00:30.400000-05:00,c
2017-08-29 12:00:34.800000-05:00,2017-08-29 12:03:07.200000-05:00,c
2017-08-29 12:03:19-05:00,2017-08-29 12:03:50.200000-05:00,c
2017-08-29 12:04:00.200000-05:00,2017-08-29 12:05:01.200000-05:00,c
2017-08-29 18:59:19.958800-05:00,2017-08-29 19:00:03.100000-05:00,c
2017-08-29 19:00:59.900000-05:00,2017-08-29 19:01:04.700000-05:00,c
2017-08-29 19:01:12.100000-05:00,2017-08-29 19:01:57.300000-05:00,c
2017-08-29 19:02:25.500000-05:00,2017-08-29 19:02:44.500000-05:00,c
2017-08-29 19:02:49.900000-05:00,2017-08-29 19:03:28.700000-05:00,c
2017-08-29 19:03:40.300000-05:00,2017-08-29 19:04:09.100000-05:00,c
2017-08-29 19:04:27.100000-05:00,2017-08-29 19:04:34.100000-05:00,c
2017-08-29 19:04:39.300000-05:00,2017-08-29 19:08:19.100000-05:00,c
2017-08-29 19:08:42.300000-05:00,2017-08-29 19:09:23.300000-05:00,c
2017-08-29 19:10:01.300000-05:00,2017-08-29 19:11:24.300000-05:00,c
2017-08-30 11:11:03.822000-05:00,2017-08-30 11:14:10.100000-05:00,c
2017-08-30 11:14:14.100000-05:00,2017-08-30 11:15:21.500000-05:00,c
2017-08-30 11:15:42.700000-05:00,2017-08-30 11:17:47.100000-05:00,c
2017-08-30 11:17:56.900000-05:00,2017-08-30 11:18:22.300000-05:00,c
2017-08-30 11:18:36.500000-05:00,2017-08-30 11:20:34.900000-05:00,c
2017-08-30 18:16:59.411400-05:00,2017-08-30 18:18:10-05:00,c
2017-08-30 18:18:14.400000-05:00,2017-08-30 18:19:02.455700-05:00,c
2017-08-30 18:22:23.600000-05:00,2017-08-30 18:23:46-05:00,c
2017-08-30 18:23:52.600000-05:00,2017-08-30 18:24:43.800000-05:00,c
2017-08-30 18:26:19.800000-05:00,2017-08-30 18:29:18-05:00,c
2017-08-31 11:57:45.400000-05:00,2017-08-31 12:01:06.200000-05:00,c
2017-08-31 12:01:19.600000-05:00,2017-08-31 12:04:31.200000-05:00,c
